geohash,Building Value ($),Land Value ($)
dhtwtrfk,0.0,6561.0
dhtwty6y,3075823.0,2758223.0
dhtwty95,0.0,0.0
dhtwty9j,487762.987654321,0.0
dhtwtyf5,0.0,717.0
dhtwtyve,0.0,1050.0
dhtwtyw0,0.0,8110.0
dhtwtz4k,0.0,1020.0
dhtwtzup,0.0,371.0
dhtwv693,0.0,67.0
dhtwv878,0.0,1403.0
dhtwv8ss,0.0,630.0
dhtwvb7m,0.0,2600.0
dhtwvcku,0.0,36290.0
dhtwvcr2,0.0,33660.0
dhtwvcue,0.0,69610.0
dhtwvczp,0.0,1079.0
dhtwvfu2,0.0,35870.0
dhtwvgbz,0.0,878.0
dhtwvgjp,0.0,7962.0
dhtwvgys,0.0,7003.0
dhtwvhuh,0.0,2670.0
dhtwvhvx,0.0,15010.0
dhtwvjmz,0.0,32980.0
dhtwvmdd,0.0,71210.0
dhtwvmxn,0.0,1730.0
dhtwvmxy,0.0,1920.0
dhtwvnhy,0.0,5640.0
dhtwvns7,0.0,10880.0
dhtwvq5s,0.0,119380.0
dhtwvtf5,0.0,65740.0
dhtwvtyw,0.0,44270.0
dhtwvwhv,0.0,29840.0
dhtwvye7,0.0,21320.0
dhtwvymh,0.0,300.0
dhtwvzjc,1027811.0,1511640.0
dhtwvzjf,1257020.0,1259700.0
dhtwvzjq,0.0,625974.0
dhtwvzjr,2983219.0,535373.0
dhtwvzjs,1702595.0,1637610.0
dhtwvzm3,3234246.0,506545.0
dhtwvzm7,0.0,473599.0
dhtwvzmc,0.0,282625.0
dhtwvzmg,769181.0,262841.0
dhtwvzmk,2209537.0,473599.0
dhtwvzmv,1806230.0,282625.0
dhtwvzmz,1023297.0,327845.0
dhtwvzn3,1828742.0,1637610.0
dhtwvznc,0.0,2670564.0
dhtwvznq,0.0,0.0
dhtwvzps,0.0,0.0
dhtwvzq0,0.0,463990.0
dhtwvzqc,0.0,0.0
dhtwvzrw,0.0,0.0
dhtwvzsx,2156067.0,658920.0
dhtwvzsz,498765.0,597146.0
dhtwvzt2,9602218.0,963671.0
dhtwvztd,2954069.0,667157.0
dhtwvztf,1694493.0,555964.0
dhtwvztp,10.0,473599.0
dhtwvztr,628197.0,473599.0
dhtwvztx,1645521.0,473599.0
dhtwvztz,2554881.0,473599.0
dhtwvzu9,0.0,617738.0
dhtwvzue,761972.0,555964.0
dhtwvzuf,1623410.0,535373.0
dhtwvzuz,0.0,473640.0
dhtwvzv4,635569.0,535373.0
dhtwvzv5,0.0,0.0
dhtwvzv6,1316454.0,535373.0
dhtwvzvd,1167873.0,535373.0
dhtwvzvf,1044290.0,535373.0
dhtwvzvp,199345.0,411825.0
dhtwvzvr,744791.5,411825.0
dhtwvzvx,549408.0,411825.0
dhtwvzvz,1334040.0,411825.0
dhtwvzw4,2536633.0,473599.0
dhtwvzw6,2106787.0,473599.0
dhtwvzwd,2447352.0,473599.0
dhtwvzwp,968811.5,473599.0
dhtwvzwx,0.0,679511.0
dhtwvzx0,0.0,0.0
dhtwvzx2,0.0,0.0
dhtwvzx4,0.0,638410.0
dhtwvzxe,0.0,356915.0
dhtwvzxf,796868.0,356915.0
dhtwvzxk,2029423.0,350051.0
dhtwvzxm,0.0,473599.0
dhtwvzxt,790880.0,385468.0
dhtwvzxz,0.0,463990.0
dhtwvzy4,1014188.0,535373.0
dhtwvzy8,2262356.0,617738.0
dhtwvzyd,1419362.0,691866.0
dhtwvzyp,1156993.0,411825.0
dhtwvzyr,0.0,617738.0
dhtwvzyx,223690.0,630092.0
dhtwvzz2,1257593.0,658870.0
dhtwvzz6,1521363.0,444771.0
dhtwvzze,546361.0,435436.0
dhtwvzzf,736454.0,463990.0
dhtwvzzk,1945967.0,444771.0
dhtwvzzm,1881579.0,535373.0
dhtwvzzr,2105217.0,444771.0
dhtwvzzw,0.0,356915.0
dhtwvzzz,969431.0,406882.0
dhtwwn2n,0.0,81480.0
dhtwwneq,540538.0,2102980.0
dhtwwnfc,2068918.0,1528735.0
dhtwwnfu,3690036.0,853608.0
dhtwwng9,0.0,524875.0
dhtwwngf,0.0,524875.0
dhtwwngj,2929789.0,814808.0
dhtwwngp,2305936.0,776008.0
dhtwwngv,0.0,0.0
dhtwwnrp,229109.0,776008.0
dhtwwnrr,676731.0,776008.0
dhtwwnsn,1713010.0,776008.0
dhtwwnsq,1971966.0,814808.0
dhtwwnst,2514432.0,776008.0
dhtwwnsv,1794015.0,776008.0
dhtwwntj,1703490.0,776008.0
dhtwwntm,1011943.5,776008.0
dhtwwntr,345444.0,543205.0
dhtwwnts,3951671.0,776008.0
dhtwwntu,1579142.0,776008.0
dhtwwntx,359693.6666666667,543205.0
dhtwwnu1,859165.0,524875.0
dhtwwnu3,594810.0,524875.0
dhtwwnu9,0.0,524875.0
dhtwwnuc,1288357.0,535373.0
dhtwwnue,307344.0,566865.0
dhtwwnut,470118.0,524875.0
dhtwwnux,681863.0,645596.0
dhtwwnuy,0.0,524875.0
dhtwwnv0,1116654.0,1233852.0
dhtwwnv2,0.0,0.0
dhtwwnv4,1790857.0,1032090.0
dhtwwnv5,3613228.0,776008.0
dhtwwnvb,0.0,0.0
dhtwwnvf,0.0,0.0
dhtwwnvj,3827382.0,744967.0
dhtwwnvr,1909579.0,1008810.0
dhtwwnvy,422904.0,543205.0
dhtwwnw7,0.0,776018.0
dhtwwnw9,3315415.0,776008.0
dhtwwnwc,10.0,814808.0
dhtwwnwe,690510.0,744967.0
dhtwwnwg,0.0,0.0
dhtwwnwh,3626080.0,713927.0
dhtwwnx0,2389087.0,970009.0
dhtwwnx8,0.0,1257132.0
dhtwwnxm,1257426.0,776008.0
dhtwwnxn,4675363.0,543205.0
dhtwwnxq,1494661.0,853581.0
dhtwwnxs,1797071.0,744967.0
dhtwwny3,372613.0,543205.0
dhtwwny4,452232.0,543205.0
dhtwwny5,329176.0,543205.0
dhtwwnyb,1644284.0,776008.0
dhtwwnyc,3402055.0,574246.0
dhtwwnyf,4782938.0,892409.0
dhtwwnyh,282486.0,543205.0
dhtwwnyj,270649.0,543205.0
dhtwwnyn,350510.0,543205.0
dhtwwnyp,364926.0,543205.0
dhtwwnyr,1756214.0,892409.0
dhtwwnys,4617267.0,1008810.0
dhtwwnyw,4392948.0,1086411.0
dhtwwp52,1202972.0,776008.0
dhtwwp53,4282309.0,1164011.0
dhtwwp5e,4666444.0,1249372.0
dhtwwp5f,5008991.0,1008810.0
dhtwwpcq,0.0,570.0
dhtwwpeb,0.0,59370.0
dhtwwph1,2998406.0,892409.0
dhtwwph3,1497026.0,690647.0
dhtwwphe,1707688.0,1164011.0
dhtwwphg,1451394.0,1063130.0
dhtwwpj0,1310739.0,1008810.0
dhtwwpj4,1292447.0,1063130.0
dhtwwpn2,338258.0,543205.0
dhtwwpw0,0.0,9480.0
dhtwwq85,0.0,0.0
dhtwwq93,2798707.0,5111464.0
dhtwwqwc,0.0,5312.0
dhtwww9k,0.0,487.0
dhtwwwgb,11782133.0,3063140.0
dhtwwwgk,0.0,816010.0
dhtwwwkp,0.0,12080.0
dhtwwwqr,365989.05263157893,0.0
dhtwwwqw,364199.7894736842,0.0
dhtwwwry,363539.6842105263,0.0
dhtwwwsc,0.0,0.0
dhtwwwtp,3356883.0,9402860.0
dhtwwwuh,2294342.0,989680.0
dhtwwwuu,486552.0,640320.0
dhtwwwvs,0.0,666468.0
dhtwwwwk,352775.63157894736,0.0
dhtwwwwv,369061.5789473684,0.0
dhtwwwx3,0.0,0.0
dhtwwwyk,351302.0,1163060.0
dhtwwwyu,0.0,1167530.0
dhtwwwz4,0.0,2176407.0
dhtwwx0m,0.0,46948.0
dhtwwx0n,0.0,52778.0
dhtwwx0p,0.0,39891.0
dhtwwx0t,0.0,35288.0
dhtwwx0v,0.0,35288.0
dhtwwx0x,32662.5,30685.0
dhtwwx0z,0.0,30685.0
dhtwwx1j,0.0,39891.0
dhtwwx1m,0.0,30685.0
dhtwwx1p,0.0,35288.0
dhtwwx1r,0.0,39891.0
dhtwwx1z,0.0,549208.0
dhtwwx20,0.0,39891.0
dhtwwx24,0.0,50323.0
dhtwwx26,0.0,35288.0
dhtwwx27,0.0,35288.0
dhtwwx28,5.0,30685.0
dhtwwx2b,5.0,30685.0
dhtwwx2d,0.0,30685.0
dhtwwx2e,0.0,30685.0
dhtwwx2f,0.0,30685.0
dhtwwx2g,80108.0,30685.0
dhtwwx2h,0.0,50323.0
dhtwwx2j,0.0,39891.0
dhtwwx2n,0.0,46028.0
dhtwwx2t,0.0,30685.0
dhtwwx2u,0.0,30685.0
dhtwwx2v,10.0,30685.0
dhtwwx2w,0.0,30685.0
dhtwwx2x,135176.0,30685.0
dhtwwx2z,58259.5,30685.0
dhtwwx30,0.0,35288.0
dhtwwx32,544975.0,30685.0
dhtwwx34,0.0,30685.0
dhtwwx36,0.0,46028.0
dhtwwx3g,6411.0,0.0
dhtwwx3h,5.0,30685.0
dhtwwx3j,5.0,35288.0
dhtwwx3k,121503.0,39891.0
dhtwwx3m,0.0,39891.0
dhtwwx3p,0.0,35288.0
dhtwwx3r,0.0,39891.0
dhtwwx3y,71991.16666666667,0.0
dhtwwx4q,0.0,500.0
dhtwwx63,0.0,509128.0
dhtwwx69,0.0,386464.0
dhtwwx6f,0.0,139260.0
dhtwwx6j,71345.16666666667,0.0
dhtwwx6m,71345.16666666667,0.0
dhtwwx6r,0.0,0.0
dhtwwx6t,66964.5,0.0
dhtwwx74,574805.0,226857.0
dhtwwx7e,248259.0,117538.0
dhtwwx7h,11186.0,0.0
dhtwwx7n,83144.66666666667,0.0
dhtwwx7t,11186.0,0.0
dhtwwx7y,59546.36363636364,0.0
dhtwwx80,0.0,51244.0
dhtwwx82,0.0,30685.0
dhtwwx83,0.0,39891.0
dhtwwx85,0.0,51858.0
dhtwwx86,0.0,39891.0
dhtwwx88,0.0,30685.0
dhtwwx8b,0.0,30685.0
dhtwwx8d,0.0,30685.0
dhtwwx8f,0.0,30685.0
dhtwwx8h,0.0,46028.0
dhtwwx8j,0.0,39891.0
dhtwwx8n,142371.0,39891.0
dhtwwx8r,144626.0,39891.0
dhtwwx8s,0.0,30685.0
dhtwwx8t,0.0,30685.0
dhtwwx8u,0.0,30685.0
dhtwwx8v,0.0,30685.0
dhtwwx8z,0.0,0.0
dhtwwx91,10.0,39891.0
dhtwwx93,10.0,39891.0
dhtwwx94,0.0,30685.0
dhtwwx96,0.0,46028.0
dhtwwx9b,71345.16666666667,0.0
dhtwwx9h,281285.5,30685.0
dhtwwx9j,0.0,30685.0
dhtwwx9k,0.0,46028.0
dhtwwx9m,0.0,30685.0
dhtwwx9p,0.0,30685.0
dhtwwx9r,0.0,46028.0
dhtwwx9u,141958.5,0.0
dhtwwxb2,0.0,0.0
dhtwwxb6,32299.0,30685.0
dhtwwxb7,42556.5,30685.0
dhtwwxb8,0.0,0.0
dhtwwxbb,0.0,0.0
dhtwwxbd,0.0,30685.0
dhtwwxbe,0.0,30685.0
dhtwwxbf,0.0,30685.0
dhtwwxbg,47176.0,30685.0
dhtwwxbh,0.0,30685.0
dhtwwxbm,30039.5,35288.0
dhtwwxbp,0.0,39891.0
dhtwwxbq,191358.0,39891.0
dhtwwxbr,95930.0,30685.0
dhtwwxbt,37467.5,30685.0
dhtwwxbv,0.0,30685.0
dhtwwxbx,5.0,30685.0
dhtwwxbz,0.0,30685.0
dhtwwxc0,25721.5,30685.0
dhtwwxc2,0.0,30685.0
